event_id,ts,symbol,price,volume
6e4df01d-303a-4c81-a80b-7f58cb26aceb,2026-02-11T07:41:06+00:00,ETHUSDT,27680.795837,3.559479
a4c86f5d-8cc2-45b3-bd17-9f1f9a592117,2026-02-11T07:36:50+00:00,ETHUSDT,27675.156153,1.470915
ce882f90-b8e1-4bbe-9701-f54621abfb8d,2026-02-11T07:36:07+00:00,XRPUSDT,10421.71215,2.290412
aa0dbecc-0056-41b4-8459-a18e0fdbe4f0,2026-02-11T07:30:07+00:00,BTCUSDT,57335.89197,3.085698
367e73cc-9347-47e0-aec2-ec08718066f8,2026-02-11T07:20:27+00:00,SOLUSDT,26187.050156,2.163246
2d73612d-6d3e-4f1a-a192-65e88a30eabb,2026-02-11T07:14:52+00:00,ETHUSDT,27732.47096,1.958377
dc4f915d-9110-4e3a-a1af-414763f47c76,2026-02-11T07:42:57+00:00,SOLUSDT,26108.138447,2.392735
28358682-8d5e-42df-900a-a82b2727a080,2026-02-11T07:54:14+00:00,SOLUSDT,26195.027825,1.562247
410acc3f-323a-4130-9f83-103c6cda068e,2026-02-11T07:49:37+00:00,ETHUSDT,27561.959332,3.33562
f618df57-1ff2-4c0c-9523-820ae27a411c,2026-02-11T07:02:56+00:00,BTCUSDT,57537.004122,2.835766
0a2a02ff-74af-446c-b1ec-7ede747fad2d,2026-02-11T07:29:13+00:00,XRPUSDT,10400.186158,0.766837
f978ddba-5ed5-4b6b-ab28-fd824e526615,2026-02-11T07:08:31+00:00,BTCUSDT,57369.14305,1.7085
dec84169-06d8-4e13-8ecf-9187292150fc,2026-02-11T07:25:55+00:00,ETHUSDT,27682.903535,2.227099
95189f09-b819-424f-867e-820c8a2001d9,2026-02-11T07:15:00+00:00,SOLUSDT,26097.615318,2.87181
16f42f48-aceb-4994-a46b-2dfd193644fc,2026-02-11T07:48:21+00:00,SOLUSDT,26129.489758,3.235521
85dc0202-6ed1-4d34-a135-96f3f4afa215,2026-02-11T07:07:58+00:00,BTCUSDT,57391.25068,0.476784
ae5edab8-983a-4852-b52c-435cba90f24a,2026-02-11T07:06:14+00:00,BTCUSDT,57371.179651,0.576574
6bf08742-297a-4423-8a16-cd60d037e09c,2026-02-11T07:00:21+00:00,ETHUSDT,27727.392341,1.678524
